cbsa_code,cbsa_name,vintage_present,summary,rem_cty_1_code,rem_cty_1_name,rem_cty_2_code,rem_cty_2_name,rem_cty_3_code,rem_cty_3_name,rem_cty_4_code,rem_cty_4_name,rem_cty_5_code,rem_cty_5_name,rem_cty_6_code,rem_cty_6_name,add_cty_1_code,add_cty_1_name,add_cty_2_code,add_cty_2_name,add_cty_3_code,add_cty_3_name,add_cty_4_code,add_cty_4_name,add_cty_5_code,add_cty_5_name,add_cty_6_code,add_cty_6_name
36860,"Ottawa-Peru, IL",2013,,17011,Bureau County,17099,LaSalle County,17155,Putnam County,,,,,,,,,,,,,,,,,,
36900,"Ottumwa, IA",Both,Removed: 19051,19051,Davis County,,,,,,,,,,,,,,,,,,,,,,
36980,"Owensboro, KY",Both,Removed: 21091,21091,Hancock County,,,,,,,,,,,,,,,,,,,,,,
37060,"Oxford, MS",Both,Added: 28161,,,,,,,,,,,,,28161,Yalobusha County,,,,,,,,,,
37080,"Oxford, NC",2013,,37077,Granville County,,,,,,,,,,,,,,,,,,,,,,
37140,"Paducah, KY-IL",Both,Added: 21039,,,,,,,,,,,,,21039,Carlisle County,,,,,,,,,,
37420,"Pampa, TX",Both,Added: 48393,,,,,,,,,,,,,48393,Roberts County,,,,,,,,,,
37460,"Panama City-Panama City Beach, FL",Both,Removed: 12045; Added: 12133,12045,Gulf County,,,,,,,,,,,12133,Washington County,,,,,,,,,,
37580,"Paris, TX",Both,Added: 48387,,,,,,,,,,,,,48387,Red River County,,,,,,,,,,
37660,"Parsons, KS",2013,,20099,Labette County,,,,,,,,,,,,,,,,,,,,,,
37780,"Pecos, TX",2013,,48389,Reeves County,,,,,,,,,,,,,,,,,,,,,,
37800,"Pella, IA",2023,New CBSA. Added: 19125,,,,,,,,,,,,,19125,Marion County,,,,,,,,,,
37950,"Petoskey, MI",2023,New CBSA. Added: 26047,,,,,,,,,,,,,26047,Emmet County,,,,,,,,,,
38180,"Pierre, SD",Both,Removed: 46119,46119,Sully County,,,,,,,,,,,,,,,,,,,,,,
