STCOU,CBSA,MDIV
38077,47420,
39011,47540,
42123,47620,
29101,47660,
18085,47700,
18027,47780,
37013,47820,
39047,47920,
46029,47980,
55055,48020,
13229,48180,
13299,48180,
37087,48200,
40039,48220,
40149,48220,
29091,48460,
55127,48580,
38105,48780,
27067,48820,
39027,48940,
37195,48980,
47051,49010,
32013,49080,
27169,49100,
55141,49220,
40153,49260,
39169,49300,
27105,49380,
46135,49460,
39119,49780,
48505,49820,
